'2016-12-22 00:30:14',102229,18.7514,41.4909
'2016-12-22 00:40:14',102212,18.7158,41.4436
'2016-12-22 00:50:14',102189,18.6649,41.384
'2016-12-22 01:00:14',102168,18.6395,41.2993
'2016-12-22 01:10:14',102165,18.5989,41.2352
'2016-12-22 01:20:14',102147,18.5582,41.1765
'2016-12-22 01:30:14',102156,18.5124,41.1393
'2016-12-22 01:40:14',102166,18.4718,41.0752
'2016-12-22 01:50:14',102155,18.4209,41.0211
'2016-12-22 02:00:14',102125,18.3599,40.9935
'2016-12-22 02:10:14',102117,18.3396,40.8381
'2016-12-22 02:20:14',102106,18.2735,40.7332
'2016-12-22 02:30:15',102088,18.2176,40.6842
'2016-12-22 02:40:15',102059,18.1769,40.5708
'2016-12-22 02:50:15',102040,18.1617,40.4488
'2016-12-22 03:00:15',101992,18.1058,40.334
'2016-12-22 03:10:15',101977,18.0651,40.2645
'2016-12-22 03:20:15',101972,18.0193,40.1617
'2016-12-22 03:30:15',101964,17.9837,40.0433
'2016-12-22 03:40:15',101940,17.9431,39.9684
'2016-12-22 03:50:15',101937,17.9227,39.8405
'2016-12-22 04:00:15',101929,17.8922,39.7555
'2016-12-22 04:10:15',101921,17.8617,39.665
'2016-12-22 04:20:15',101908,17.816,39.5568
'2016-12-22 04:30:16',101911,17.7957,39.4673
'2016-12-22 04:40:16',101895,17.7702,39.4047
'2016-12-22 04:50:16',101890,17.7397,39.3143
'2016-12-22 05:00:16',101869,17.7092,39.213
'2016-12-22 05:10:16',101876,17.6838,39.1011
'2016-12-22 05:20:16',101845,17.6482,39.0377
'2016-12-22 05:30:16',101841,17.6279,38.8935
'2016-12-22 05:40:16',101822,17.6127,38.8264
'2016-12-22 05:50:16',101827,17.572,38.7625
'2016-12-22 06:00:16',101829,17.5364,38.6663
'2016-12-22 06:10:16',101780,17.5059,38.5595
'2016-12-22 06:20:17',101771,17.4856,38.4865
'2016-12-22 06:30:17',101754,17.4347,38.4547
'2016-12-22 06:40:17',101717,17.4144,38.3379
'2016-12-22 06:50:17',101687,17.3788,38.2526
'2016-12-22 07:00:17',101649,17.3534,38.2121
'2016-12-22 07:10:17',101622,17.633,37.584
'2016-12-22 07:20:17',101587,17.8465,37.295
'2016-12-22 07:30:17',101584,17.9482,37.2104
'2016-12-22 07:40:17',101562,17.9126,37.2842
'2016-12-22 07:50:17',101531,17.9634,37.2062
'2016-12-22 08:00:18',101510,18.4819,36.7224
'2016-12-22 08:10:18',101503,19.4021,35.6866
'2016-12-22 08:20:18',101487,20.2358,35.0474
'2016-12-22 14:54:12',100535,22.6353,37.0059
'2016-12-22 15:04:12',100520,22.6963,36.9167
'2016-12-22 15:14:12',100515,22.8946,36.9109
'2016-12-22 15:24:12',100520,22.9607,37.1494
'2016-12-22 15:34:12',100501,23.1234,37.1851
'2016-12-22 15:44:13',100484,23.1539,37.3209
'2016-12-22 15:54:13',100396,23.1335,36.9583
'2016-12-22 16:04:13',100360,23.6978,35.9654
'2016-12-22 16:14:13',100330,24.0537,36.1665
'2016-12-22 16:24:13',100291,23.8809,36.8032
'2016-12-22 16:34:13',100224,23.708,37.0447
'2016-12-22 16:44:13',100235,23.6368,37.3556
'2016-12-22 16:54:13',100236,23.7131,37.6676
'2016-12-22 17:04:13',100195,23.6521,38.0236
'2016-12-22 17:14:14',100193,23.5352,38.347
'2016-12-22 17:24:14',100169,23.4894,38.6374
'2016-12-22 17:34:14',100144,23.4538,38.5344
'2016-12-22 17:44:14',100192,23.4894,39.1926
'2016-12-22 17:54:14',100185,23.4996,38.9548
'2016-12-22 18:04:14',100143,23.3979,39.3068
'2016-12-22 18:14:14',100150,23.3521,39.5025
'2016-12-20 00:00:00',100000,19.5,30.3
'2016-12-20 00:00:00',100000,19.5,30.3
'2016-12-22 18:24:14',100123,23.3064,39.5873
'2016-12-22 18:34:14',100111,23.2505,39.4825
'2016-12-22 18:44:14',100096,23.1894,39.7711
'2016-12-22 18:54:15',100053,23.1284,39.677
'2016-12-22 19:04:15',100050,23.1132,39.8697
'2016-12-22 19:14:15',100017,23.0827,39.9169
'2016-12-22 19:24:15',99993.9,23.0776,40.0052
'2016-12-22 19:34:15',99951.7,23.0064,39.9489
'2016-12-22 19:44:15',99924,22.9556,40.0165
'2016-12-22 19:54:15',99892.7,22.9708,40.0012
'2016-12-22 20:04:15',99862.6,22.9759,39.669
'2016-12-22 20:14:15',99879,22.9556,39.5008
'2016-12-22 20:24:15',99868.5,22.8895,39.4839
'2016-12-22 20:34:15',99868.9,22.8743,39.5657
'2016-12-22 20:44:15',99881.4,22.8997,39.4626
'2016-12-22 20:54:16',99905.4,22.9098,39.4913
'2016-12-22 21:04:16',99899.8,22.9098,39.5522
'2016-12-22 21:14:16',99910.1,22.8336,39.6841
'2016-12-22 21:24:16',99945.8,22.7929,39.7858
'2016-12-22 21:34:16',99974.7,22.8336,39.8116
'2016-12-22 21:44:16',100000,22.8692,39.848
